"time","Presens_data.O2_value","position"
"2021-09-15T15:32:25.000Z","90.8","18"
"2021-09-15T15:32:25.000Z","91.42","19"
"2021-09-15T15:32:25.000Z","88.58","2"
"2021-09-15T15:32:25.000Z","91.72","20"
"2021-09-15T15:32:25.000Z","91.32","21"
"2021-09-15T15:32:25.000Z","87.5","22"
"2021-09-15T15:32:25.000Z","89.97","23"
"2021-09-15T15:32:25.000Z","90.98","24"
"2021-09-15T15:32:25.000Z","90.65","25"
"2021-09-15T15:32:25.000Z","92.13","26"
"2021-09-15T15:32:25.000Z","91.82","27"
"2021-09-15T15:32:25.000Z","92.91","28"
"2021-09-15T15:32:25.000Z","91.08","29"
"2021-09-15T15:32:25.000Z","88.78","3"
"2021-09-15T15:32:25.000Z","90.84","30"
"2021-09-15T15:32:25.000Z","90.22","31"
"2021-09-15T15:32:25.000Z","94.26","32"
"2021-09-15T15:32:25.000Z","92.29","33"
"2021-09-15T15:32:25.000Z","97.39","34"
"2021-09-15T15:32:25.000Z","91.38","35"
"2021-09-15T15:32:25.000Z","92.54","36"
"2021-09-15T15:32:25.000Z","92.3","37"
"2021-09-15T15:32:25.000Z","91","38"
"2021-09-15T15:32:25.000Z","91.02","39"
"2021-09-15T15:32:25.000Z","87.39","4"
"2021-09-15T15:32:25.000Z","93.06","40"
"2021-09-15T15:32:25.000Z","91.6","41"
"2021-09-15T15:32:25.000Z","93.84","42"
"2021-09-15T15:32:25.000Z","92.05","43"
"2021-09-15T15:32:25.000Z","90.34","44"
"2021-09-15T15:32:25.000Z","92","45"
"2021-09-15T15:32:25.000Z","91.28","46"
"2021-09-15T15:32:25.000Z","92.07","47"
"2021-09-15T15:32:25.000Z","90.3","5"
"2021-09-15T15:32:25.000Z","88.56","6"
"2021-09-15T15:32:25.000Z","89.97","7"
"2021-09-15T15:32:25.000Z","88.7","8"
"2021-09-15T15:32:25.000Z","89.06","9"
"2021-09-15T15:33:25.000Z","90.54","0"
"2021-09-15T15:33:25.000Z","87.74","1"
"2021-09-15T15:33:25.000Z","90.18","10"
"2021-09-15T15:33:25.000Z","90.55","11"
"2021-09-15T15:33:25.000Z","89.18","12"
"2021-09-15T15:33:25.000Z","89.63","13"
"2021-09-15T15:33:25.000Z","90.02","14"
"2021-09-15T15:33:25.000Z","88.77","15"
"2021-09-15T15:33:25.000Z","90.61","16"
"2021-09-15T15:33:25.000Z","90.66","17"
"2021-09-15T15:33:25.000Z","91.83","18"
"2021-09-15T15:33:25.000Z","92.49","19"
"2021-09-15T15:33:25.000Z","89.64","2"
"2021-09-15T15:33:25.000Z","92.72","20"
"2021-09-15T15:33:25.000Z","92.33","21"
"2021-09-15T15:33:25.000Z","88.69","22"
"2021-09-15T15:33:25.000Z","91.01","23"
"2021-09-15T15:33:25.000Z","91.85","24"
"2021-09-15T15:33:25.000Z","91.71","25"
"2021-09-15T15:33:25.000Z","92.92","26"
"2021-09-15T15:33:25.000Z","92.8","27"
"2021-09-15T15:33:25.000Z","93.84","28"
"2021-09-15T15:33:25.000Z","92.16","29"
"2021-09-15T15:33:25.000Z","89.68","3"
"2021-09-15T15:33:25.000Z","91.81","30"
"2021-09-15T15:33:25.000Z","91.12","31"
"2021-09-15T15:33:25.000Z","95.01","32"
"2021-09-15T15:33:25.000Z","93.11","33"
"2021-09-15T15:33:25.000Z","98.1","34"
"2021-09-15T15:33:25.000Z","92.16","35"
"2021-09-15T15:33:25.000Z","93.28","36"
"2021-09-15T15:33:25.000Z","93.09","37"
"2021-09-15T15:33:25.000Z","91.95","38"
"2021-09-15T15:33:25.000Z","91.78","39"
"2021-09-15T15:33:25.000Z","88.39","4"
"2021-09-15T15:33:25.000Z","93.69","40"
"2021-09-15T15:33:25.000Z","92.26","41"
"2021-09-15T15:33:25.000Z","94.48","42"
"2021-09-15T15:33:25.000Z","92.66","43"
"2021-09-15T15:33:25.000Z","91.06","44"
"2021-09-15T15:33:25.000Z","92.6","45"
"2021-09-15T15:33:25.000Z","92.01","46"
"2021-09-15T15:33:25.000Z","92.83","47"
"2021-09-15T15:33:25.000Z","91.15","5"
"2021-09-15T15:33:25.000Z","89.61","6"
"2021-09-15T15:33:25.000Z","90.98","7"
"2021-09-15T15:33:25.000Z","89.66","8"
"2021-09-15T15:33:25.000Z","90.03","9"
"2021-09-15T15:34:24.000Z","91.24","0"
"2021-09-15T15:34:24.000Z","88.6","1"
"2021-09-15T15:34:24.000Z","90.94","10"
"2021-09-15T15:34:24.000Z","91.51","11"
"2021-09-15T15:34:24.000Z","90.14","12"
"2021-09-15T15:34:24.000Z","90.5","13"
"2021-09-15T15:34:24.000Z","90.84","14"
"2021-09-15T15:34:24.000Z","89.64","15"
"2021-09-15T15:34:24.000Z","91.44","16"
"2021-09-15T15:34:24.000Z","91.4","17"
"2021-09-15T15:34:24.000Z","92.52","18"
"2021-09-15T15:34:24.000Z","93.32","19"
"2021-09-15T15:34:24.000Z","90.4","2"
"2021-09-15T15:34:24.000Z","93.58","20"
"2021-09-15T15:34:24.000Z","93.34","21"
"2021-09-15T15:34:24.000Z","89.67","22"
"2021-09-15T15:34:24.000Z","91.96","23"
"2021-09-15T15:34:24.000Z","92.67","24"
"2021-09-15T15:34:24.000Z","92.46","25"
"2021-09-15T15:34:24.000Z","93.83","26"
"2021-09-15T15:34:24.000Z","93.56","27"
"2021-09-15T15:34:24.000Z","94.7","28"
"2021-09-15T15:34:24.000Z","92.86","29"
"2021-09-15T15:34:24.000Z","90.57","3"
"2021-09-15T15:34:24.000Z","92.65","30"
"2021-09-15T15:34:24.000Z","91.85","31"
"2021-09-15T15:34:24.000Z","95.56","32"
"2021-09-15T15:34:24.000Z","93.79","33"
"2021-09-15T15:34:24.000Z","98.6","34"
"2021-09-15T15:34:24.000Z","92.94","35"
"2021-09-15T15:34:24.000Z","94.17","36"
"2021-09-15T15:34:24.000Z","93.79","37"
"2021-09-15T15:34:24.000Z","92.46","38"
"2021-09-15T15:34:24.000Z","92.51","39"
"2021-09-15T15:34:24.000Z","89.22","4"
"2021-09-15T15:34:24.000Z","94.31","40"
"2021-09-15T15:34:24.000Z","92.87","41"
"2021-09-15T15:34:24.000Z","94.97","42"
"2021-09-15T15:34:24.000Z","93.35","43"
"2021-09-15T15:34:24.000Z","91.77","44"
"2021-09-15T15:34:24.000Z","93.31","45"
"2021-09-15T15:34:24.000Z","92.63","46"
"2021-09-15T15:34:24.000Z","93.39","47"
"2021-09-15T15:34:24.000Z","91.97","5"
"2021-09-15T15:34:24.000Z","90.37","6"
"2021-09-15T15:34:24.000Z","91.61","7"
"2021-09-15T15:34:24.000Z","90.45","8"
"2021-09-15T15:34:24.000Z","90.86","9"
"2021-09-15T15:35:24.000Z","91.87","0"
"2021-09-15T15:35:24.000Z","89.22","1"
"2021-09-15T15:35:24.000Z","91.75","10"
"2021-09-15T15:35:24.000Z","92.22","11"
"2021-09-15T15:35:24.000Z","90.83","12"
"2021-09-15T15:35:24.000Z","91.12","13"
"2021-09-15T15:35:24.000Z","91.48","14"
"2021-09-15T15:35:24.000Z","90.2","15"
"2021-09-15T15:35:24.000Z","92.1","16"
"2021-09-15T15:35:24.000Z","92.02","17"
"2021-09-15T15:35:24.000Z","93.37","18"
"2021-09-15T15:35:24.000Z","94.1","19"
"2021-09-15T15:35:24.000Z","91.12","2"
"2021-09-15T15:35:24.000Z","94.4","20"
"2021-09-15T15:35:24.000Z","93.96","21"
"2021-09-15T15:35:24.000Z","90.4","22"
"2021-09-15T15:35:24.000Z","92.69","23"
"2021-09-15T15:35:24.000Z","93.27","24"
"2021-09-15T15:35:24.000Z","93.25","25"
"2021-09-15T15:35:24.000Z","94.48","26"
"2021-09-15T15:35:24.000Z","94.25","27"
"2021-09-15T15:35:24.000Z","95.42","28"
"2021-09-15T15:35:24.000Z","93.62","29"
"2021-09-15T15:35:24.000Z","91.27","3"
"2021-09-15T15:35:24.000Z","93.31","30"
"2021-09-15T15:35:24.000Z","92.61","31"
"2021-09-15T15:35:24.000Z","96.13","32"
"2021-09-15T15:35:24.000Z","94.41","33"
"2021-09-15T15:35:24.000Z","99.27","34"
"2021-09-15T15:35:24.000Z","93.51","35"
"2021-09-15T15:35:24.000Z","94.6","36"
"2021-09-15T15:35:24.000Z","94.46","37"
"2021-09-15T15:35:24.000Z","93.29","38"
"2021-09-15T15:35:24.000Z","93.05","39"
"2021-09-15T15:35:24.000Z","90.04","4"
