"time","Position","Readerdata.Value"
"2021-09-30T20:35:03.000Z","B4","1.136"
"2021-09-30T20:35:03.000Z","B5","1.216"
"2021-09-30T20:35:03.000Z","B6","1.128"
"2021-09-30T20:35:03.000Z","B7","0.193"
"2021-09-30T20:35:03.000Z","B8","0.2"
"2021-09-30T20:35:03.000Z","B9","0.201"
"2021-09-30T20:35:03.000Z","C1","1.121"
"2021-09-30T20:35:03.000Z","C10","0.215"
"2021-09-30T20:35:03.000Z","C11","0.183"
"2021-09-30T20:35:03.000Z","C12","0.201"
"2021-09-30T20:35:03.000Z","C2","1.086"
"2021-09-30T20:35:03.000Z","C3","1.104"
"2021-09-30T20:35:03.000Z","C4","1.169"
"2021-09-30T20:35:03.000Z","C5","1.093"
"2021-09-30T20:35:03.000Z","C6","1.132"
"2021-09-30T20:35:03.000Z","C7","0.193"
"2021-09-30T20:35:03.000Z","C8","0.193"
"2021-09-30T20:35:03.000Z","C9","0.209"
"2021-09-30T20:35:03.000Z","D1","1.096"
"2021-09-30T20:35:03.000Z","D10","0.179"
"2021-09-30T20:35:03.000Z","D11","0.185"
"2021-09-30T20:35:03.000Z","D12","0.192"
"2021-09-30T20:35:03.000Z","D2","1.101"
"2021-09-30T20:35:03.000Z","D3","1.162"
"2021-09-30T20:35:03.000Z","D4","1.096"
"2021-09-30T20:35:03.000Z","D5","1.076"
"2021-09-30T20:35:03.000Z","D6","1.201"
"2021-09-30T20:35:03.000Z","D7","0.183"
"2021-09-30T20:35:03.000Z","D8","0.186"
"2021-09-30T20:35:03.000Z","D9","0.198"
"2021-09-30T20:35:03.000Z","E1","1.126"
"2021-09-30T20:35:03.000Z","E10","0.225"
"2021-09-30T20:35:03.000Z","E11","0.211"
"2021-09-30T20:35:03.000Z","E12","0.215"
"2021-09-30T20:35:03.000Z","E2","1.107"
"2021-09-30T20:35:03.000Z","E3","1.191"
"2021-09-30T20:35:03.000Z","E4","1.226"
