"time","Presens_data.pH_value","position"
"2021-10-14T15:31:07.000Z","7.09","43"
"2021-10-14T15:31:07.000Z","7.07","44"
"2021-10-14T15:31:07.000Z","7.07","45"
"2021-10-14T15:31:07.000Z","7.05","46"
"2021-10-14T15:31:07.000Z","7.02","47"
"2021-10-14T15:31:07.000Z","6.96","5"
"2021-10-14T15:31:07.000Z","6.94","6"
"2021-10-14T15:31:07.000Z","6.99","7"
"2021-10-14T15:31:07.000Z","6.91","8"
"2021-10-14T15:31:07.000Z","7","9"
"2021-10-14T15:31:51.000Z","7.05","0"
"2021-10-14T15:31:51.000Z","7.01","1"
"2021-10-14T15:31:51.000Z","6.95","10"
"2021-10-14T15:31:51.000Z","6.9","11"
"2021-10-14T15:31:51.000Z","6.93","12"
"2021-10-14T15:31:51.000Z","6.92","13"
"2021-10-14T15:31:51.000Z","7.01","14"
"2021-10-14T15:31:51.000Z","7.04","15"
"2021-10-14T15:31:51.000Z","6.92","16"
"2021-10-14T15:31:51.000Z","6.93","17"
"2021-10-14T15:31:51.000Z","7.03","18"
"2021-10-14T15:31:51.000Z","7.02","19"
"2021-10-14T15:31:51.000Z","7","2"
"2021-10-14T15:31:51.000Z","6.96","20"
"2021-10-14T15:31:51.000Z","7","21"
"2021-10-14T15:31:51.000Z","7.04","22"
"2021-10-14T15:31:51.000Z","7.05","23"
"2021-10-14T15:31:51.000Z","7.02","24"
"2021-10-14T15:31:51.000Z","6.93","25"
"2021-10-14T15:31:51.000Z","6.97","26"
"2021-10-14T15:31:51.000Z","7","27"
"2021-10-14T15:31:51.000Z","6.99","28"
"2021-10-14T15:31:51.000Z","6.98","29"
"2021-10-14T15:31:51.000Z","7.02","3"
"2021-10-14T15:31:51.000Z","7.01","30"
"2021-10-14T15:31:51.000Z","6.99","31"
"2021-10-14T15:31:51.000Z","7.03","32"
"2021-10-14T15:31:51.000Z","7.09","33"
"2021-10-14T15:31:51.000Z","7.03","34"
"2021-10-14T15:31:51.000Z","7.03","35"
"2021-10-14T15:31:51.000Z","7.03","36"
